{'avg': 138.31999999999999, 'std': 12.877018288408228, 'min': 117.0, 'max': 159.0}
{'avg': 143.91999999999999, 'std': 14.045412062307037, 'min': 117.0, 'max': 173.0}
{'avg': 151.68000000000001, 'std': 16.751644695372448, 'min': 128.0, 'max': 168.0}
{'avg': 141.03999999999999, 'std': 1.684755175092215, 'min': 140.0, 'max': 149.0}
{'avg': 152.72, 'std': 10.490071496419839, 'min': 140.0, 'max': 162.0}
{'avg': 148.19999999999999, 'std': 5.8787753826796267, 'min': 141.0, 'max': 153.0}
{'avg': 161.59999999999999, 'std': 19.162463307205574, 'min': 141.0, 'max': 180.0}
{'avg': 156.03999999999999, 'std': 9.3487111411145865, 'min': 141.0, 'max': 163.0}
{'avg': 160.47999999999999, 'std': 1.7915356541246954, 'min': 157.0, 'max': 162.0}
{'avg': 153.40000000000001, 'std': 1.9595917942265426, 'min': 151.0, 'max': 155.0}
{'avg': 141.0, 'std': 0.0, 'min': 141.0, 'max': 141.0}
{'avg': 152.96000000000001, 'std': 3.5268115912251394, 'min': 141.0, 'max': 154.0}
{'avg': 177.96000000000001, 'std': 16.130666446244557, 'min': 141.0, 'max': 185.0}
{'avg': 174.96000000000001, 'std': 7.9421911334341484, 'min': 166.0, 'max': 182.0}
{'avg': 151.0, 'std': 4.0, 'min': 149.0, 'max': 159.0}
{'avg': 164.0, 'std': 0.0, 'min': 164.0, 'max': 164.0}
{'avg': 156.0, 'std': 0.0, 'min': 156.0, 'max': 156.0}
{'avg': 157.0, 'std': 0.0, 'min': 157.0, 'max': 157.0}
{'avg': 165.0, 'std': 0.0, 'min': 165.0, 'max': 165.0}
{'avg': 166.0, 'std': 0.0, 'min': 166.0, 'max': 166.0}
{'avg': 177.0, 'std': 0.0, 'min': 177.0, 'max': 177.0}
{'avg': 157.0, 'std': 0.0, 'min': 157.0, 'max': 157.0}
{'avg': 171.0, 'std': 0.0, 'min': 171.0, 'max': 171.0}
{'avg': 168.0, 'std': 0.0, 'min': 168.0, 'max': 168.0}
{'avg': 161.0, 'std': 0.0, 'min': 161.0, 'max': 161.0}
{'avg': 146.91999999999999, 'std': 21.70515146226812, 'min': 101.0, 'max': 184.0}
{'avg': 135.80000000000001, 'std': 20.37253052519495, 'min': 101.0, 'max': 184.0}
