{'avg': 161.03333333333333, 'std': 40.670614562468671, 'min': 41.0, 'max': 182.0}
{'avg': 159.0, 'std': 43.524705627953416, 'min': 41.0, 'max': 185.0}
{'avg': 157.72499999999999, 'std': 46.122113730834151, 'min': 27.0, 'max': 183.0}
{'avg': 158.02222222222221, 'std': 47.445167832112091, 'min': 27.0, 'max': 184.0}
{'avg': 161.52000000000001, 'std': 45.33530191804175, 'min': 27.0, 'max': 186.0}
{'avg': 160.8909090909091, 'std': 46.391093474060391, 'min': 27.0, 'max': 186.0}
{'avg': 162.26666666666668, 'std': 44.779782144276773, 'min': 27.0, 'max': 184.0}
{'avg': 161.46153846153845, 'std': 45.455667979684222, 'min': 27.0, 'max': 184.0}
{'avg': 164.71428571428572, 'std': 42.052736570421011, 'min': 27.0, 'max': 185.0}
{'avg': 168.10666666666665, 'std': 39.162762358592069, 'min': 27.0, 'max': 186.0}
{'avg': 170.125, 'std': 35.085743187226349, 'min': 27.0, 'max': 186.0}
{'avg': 168.51764705882354, 'std': 36.708585873288676, 'min': 27.0, 'max': 183.0}
{'avg': 170.74444444444444, 'std': 33.101044330994597, 'min': 27.0, 'max': 184.0}
{'avg': 169.62105263157895, 'std': 35.355094607162918, 'min': 27.0, 'max': 184.0}
{'avg': 171.61000000000001, 'std': 32.021522449752446, 'min': 27.0, 'max': 184.0}
{'avg': 170.64761904761906, 'std': 34.350291037064963, 'min': 27.0, 'max': 185.0}
{'avg': 169.68181818181819, 'std': 36.68042128690896, 'min': 27.0, 'max': 185.0}
{'avg': 172.39130434782609, 'std': 30.819162771737489, 'min': 27.0, 'max': 185.0}
{'avg': 173.04166666666666, 'std': 30.29009624539934, 'min': 27.0, 'max': 186.0}
{'avg': 172.63200000000001, 'std': 29.584194699197067, 'min': 27.0, 'max': 186.0}
{'avg': 172.7923076923077, 'std': 29.017420803013689, 'min': 27.0, 'max': 185.0}
{'avg': 172.06666666666666, 'std': 31.068907882914669, 'min': 27.0, 'max': 186.0}
{'avg': 171.06428571428572, 'std': 32.950874845157365, 'min': 27.0, 'max': 185.0}
{'avg': 173.64827586206897, 'std': 27.817020598158656, 'min': 27.0, 'max': 185.0}
{'avg': 173.97333333333333, 'std': 27.389035924779989, 'min': 27.0, 'max': 187.0}
{'avg': 168.17857142857142, 'std': 28.97295977215969, 'min': 55.0, 'max': 182.0}
{'avg': 170.2258064516129, 'std': 27.968541864513696, 'min': 55.0, 'max': 185.0}
{'avg': 169.41176470588235, 'std': 27.414162985214976, 'min': 55.0, 'max': 184.0}
{'avg': 167.72972972972974, 'std': 31.446779277916214, 'min': 55.0, 'max': 183.0}
{'avg': 169.90000000000001, 'std': 30.165211751287281, 'min': 55.0, 'max': 182.0}
{'avg': 171.23255813953489, 'std': 29.416683455973505, 'min': 55.0, 'max': 185.0}
{'avg': 171.13043478260869, 'std': 28.365325353671864, 'min': 55.0, 'max': 185.0}
{'avg': 171.38775510204081, 'std': 27.529439771708155, 'min': 55.0, 'max': 184.0}
{'avg': 169.65384615384616, 'std': 30.838215936240179, 'min': 55.0, 'max': 184.0}
{'avg': 169.94545454545454, 'std': 30.048698765847767, 'min': 55.0, 'max': 184.0}
{'avg': 168.68965517241378, 'std': 32.593212164366967, 'min': 55.0, 'max': 184.0}
{'avg': 173.09836065573771, 'std': 26.18640926319291, 'min': 55.0, 'max': 186.0}
{'avg': 171.515625, 'std': 29.432652035781196, 'min': 55.0, 'max': 184.0}
