gen, min, max, avg, std, time
0, 85.0, 171.0, 143.64, 21.214862714616, 0:01:01.067519
0, 29.0, 175.0, 144.36, 28.240226627985752, 0:01:12.199442
0, 117.0, 159.0, 138.32, 12.877018288408312, 0:00:59.060667
1, 117.0, 173.0, 143.92, 14.045412062307182, 0:00:22.346546
2, 128.0, 168.0, 151.68, 16.751644695372384, 0:00:19.540627
3, 140.0, 149.0, 141.04, 1.6847551750923773, 0:00:28.859149
4, 140.0, 162.0, 152.72, 10.490071496419864, 0:00:32.344226
5, 141.0, 153.0, 148.2, 5.878775382679739, 0:00:30.160451
6, 141.0, 180.0, 161.6, 19.162463307205595, 0:00:29.925053
7, 141.0, 163.0, 156.04, 9.348711141114686, 0:00:31.600769
8, 157.0, 162.0, 160.48, 1.7915356541262566, 0:00:30.135699
9, 151.0, 155.0, 153.4, 1.9595917942265797, 0:00:29.243346
10, 141.0, 141.0, 141.0, 0.0, 0:00:31.244552
11, 141.0, 154.0, 152.96, 3.5268115912250106, 0:00:30.416938
12, 141.0, 185.0, 177.96, 16.13066644624448, 0:00:25.240134
13, 166.0, 182.0, 174.96, 7.942191133434054, 0:00:32.462260
14, 149.0, 159.0, 151.0, 4.0, 0:00:29.554689
15, 164.0, 164.0, 164.0, 0.0, 0:00:30.094042
16, 156.0, 156.0, 156.0, 0.0, 0:00:29.504358
17, 157.0, 157.0, 157.0, 0.0, 0:00:29.672803
18, 165.0, 165.0, 165.0, 0.0, 0:00:29.145589
19, 166.0, 166.0, 166.0, 0.0, 0:00:29.887916
20, 177.0, 177.0, 177.0, 0.0, 0:00:28.684888
21, 157.0, 157.0, 157.0, 0.0, 0:00:28.169678
22, 171.0, 171.0, 171.0, 0.0, 0:00:29.456235
23, 168.0, 168.0, 168.0, 0.0, 0:00:31.251549
24, 161.0, 161.0, 161.0, 0.0, 0:00:28.444321
